stage,iter,total,L_ic,L_bc,L_pde,L_mass
adam,1,36.93016815185547,0.3296482563018799,0.3314836919307709,0.0012034617830067873,0.06493017822504044
adam,100,2.4664487838745117,0.019813183695077896,0.03132031857967377,0.028633177280426025,0.014329418540000916
adam,200,0.2933655381202698,0.0009095763671211898,0.0065729799680411816,0.10877413302659988,0.0027903984300792217
adam,300,0.13817444443702698,0.00029064048430882394,0.0016620511887595057,0.0862603709101677,0.0006229516002349555
adam,400,0.09206335991621017,0.00012640455679502338,0.00043294913484714925,0.07345665246248245,0.00016367595526389778
adam,500,0.07429876923561096,8.498444367432967e-05,0.00026264667394571006,0.06242767348885536,7.461803033947945e-05
adam,600,0.06204785034060478,6.66664564050734e-05,0.00021600387117359787,0.0527520552277565,4.691100548370741e-05
adam,700,0.05271471291780472,5.558242628467269e-05,0.0001796914730221033,0.045051611959934235,3.0794235499342903e-05
adam,800,0.045873165130615234,4.866663584834896e-05,0.00014810448919888586,0.03931557759642601,2.098799086525105e-05
adam,900,0.040970269590616226,4.4016607716912404e-05,0.00012152577983215451,0.03519615903496742,1.571918255649507e-05
adam,1000,0.037389468401670456,4.057833575643599e-05,0.00010105040564667434,0.03219156339764595,1.2956810678588226e-05
adam,1100,0.03458717092871666,3.7719735701102763e-05,8.663503103889525e-05,0.029835497960448265,1.1335027011227794e-05
adam,1200,0.03218219056725502,3.5142351407557726e-05,7.745571929262951e-05,0.02778935804963112,1.0404060049040709e-05
adam,1300,0.03196907415986061,5.0243514124304056e-05,0.00010324639151804149,0.025797035545110703,1.1522218301251996e-05
adam,1400,0.027542468160390854,2.9380629712250084e-05,6.952783587621525e-05,0.023817580193281174,9.154661711363588e-06
adam,1500,0.030061284080147743,6.833427323726937e-05,0.00013450613187160343,0.02180483564734459,7.796028512530029e-06
adam,1600,0.022981218993663788,2.3684953703195788e-05,6.847133045084774e-05,0.01983954757452011,8.846301170706283e-06
adam,1700,0.020895715802907944,2.1188106984482147e-05,6.69322325848043e-05,0.018024472519755363,8.311157216667198e-06
adam,1800,0.01906777173280716,1.943518509506248e-05,6.596918683499098e-05,0.01638651080429554,7.805064342392143e-06
adam,1900,0.017297256737947464,1.7446198398829438e-05,6.10460847383365e-05,0.01487565878778696,6.651704552496085e-06
adam,2000,0.015634724870324135,1.595349021954462e-05,5.643124313792214e-05,0.013417311944067478,5.775155386800179e-06
adam,2100,0.014150072820484638,1.5301486200769432e-05,5.522996070794761e-05,0.012010878883302212,5.6745288929960225e-06
adam,2200,0.012546519748866558,1.3466505151882302e-05,4.6634515456389636e-05,0.010687132366001606,4.639214694179827e-06
adam,2300,0.011054343543946743,1.2126069123041816e-05,4.111645102966577e-05,0.009388367645442486,4.220463324600132e-06
adam,2400,0.009887316264212132,1.3261311323731206e-05,3.4157706977566704e-05,0.008187438361346722,3.2169568839890417e-06
adam,2500,0.00835014320909977,9.335192771686707e-06,3.085378557443619e-05,0.007069332525134087,3.875313723256113e-06
adam,2600,0.007170872297137976,7.89984824223211e-06,2.5987257686210796e-05,0.006083178333938122,3.7836548472114373e-06
