stage,iter,total,L_ic,L_bc,L_pde,L_mass
adam,1,36.93708801269531,0.3296482563018799,0.3314836919307709,0.00811973586678505,0.06493017822504044
adam,100,2.4551823139190674,0.019787412136793137,0.03135555982589722,0.01971377804875374,0.014317161403596401
adam,200,0.2915574312210083,0.000916974910069257,0.006627121940255165,0.10518275201320648,0.0028405969496816397
adam,300,0.1397785246372223,0.0002980571298394352,0.001696049701422453,0.08661440759897232,0.0006397907854989171
adam,400,0.09401845186948776,0.00012976363359484822,0.0004506864061113447,0.07485614717006683,0.00016790755034890026
adam,500,0.07648146897554398,8.56098486110568e-05,0.00030977121787145734,0.06402284651994705,7.999219087651e-05
adam,600,0.06505808979272842,6.71825764584355e-05,0.0003128300013486296,0.05464866757392883,5.628656435874291e-05
adam,700,0.05664294585585594,5.70424017496407e-05,0.00030582176987081766,0.047461021691560745,4.194690700387582e-05
adam,800,0.050431109964847565,5.117601540405303e-05,0.0002753551525529474,0.04224122688174248,3.187275797245093e-05
adam,900,0.04585948586463928,4.7333407565020025e-05,0.0002362480154260993,0.038505226373672485,2.5843726689345203e-05
adam,1000,0.042396701872348785,4.429976252140477e-05,0.00020148284966126084,0.03572667017579079,2.252275953651406e-05
adam,1100,0.039567917585372925,4.1427931137150154e-05,0.0001752881653374061,0.0334656685590744,2.065766057057772e-05
adam,1200,0.03705240413546562,3.85362800443545e-05,0.0001577356888446957,0.03142795339226723,1.9346600311109796e-05
adam,1300,0.03817632049322128,6.655986362602562e-05,0.00019517855253070593,0.0294323842972517,1.3616464457300026e-05
adam,1400,0.032067250460386276,3.186721369274892e-05,0.00014042180555406958,0.02728245221078396,1.938601599249523e-05
adam,1500,0.03061722032725811,3.817511606030166e-05,0.00015020390856079757,0.025131160393357277,1.6650881661917083e-05
adam,1600,0.027022140100598335,2.5287112293881364e-05,0.00013058516196906567,0.022981872782111168,2.0570436390698887e-05
adam,1700,0.024948395788669586,2.5483943318249658e-05,0.0001251649227924645,0.020961467176675797,1.868851722974796e-05
adam,1800,0.02229147031903267,1.989100201171823e-05,0.0001084577597794123,0.01901477575302124,2.030162067967467e-05
adam,1900,0.02001223899424076,1.7568856492289342e-05,9.181165660265833e-05,0.017134349793195724,2.028859125857707e-05
adam,2000,0.01786564104259014,1.5521565728704445e-05,6.939838931430131e-05,0.01542680338025093,1.9269637050456367e-05
adam,2100,0.015826864168047905,1.3467762983054854e-05,4.575551429297775e-05,0.013836846686899662,1.8568469386082143e-05
adam,2200,0.01406383141875267,1.1585840184125118e-05,3.0132785468595102e-05,0.012414086610078812,1.89833026524866e-05
adam,2300,0.012544555589556694,9.750679964781739e-06,2.1230662241578102e-05,0.011170316487550735,1.868644540081732e-05
adam,2400,0.011282354593276978,8.689132300787605e-06,1.6854122804943472e-05,0.010063765570521355,1.8113469195668586e-05
adam,2500,0.010180743411183357,7.1032777668733615e-06,1.665640957071446e-05,0.009113398380577564,1.904533382912632e-05
adam,2600,0.009274333715438843,5.91594607612933e-06,1.837847776187118e-05,0.008307677693665028,1.9127655832562596e-05
adam,2700,0.02511303499341011,0.00014874122280161828,0.0002143230231013149,0.007531475741416216,5.642072937916964e-05
adam,2800,0.007923964411020279,4.56158022643649e-06,2.3365128072327934e-05,0.0070511396043002605,1.8301572708878666e-05
adam,2900,0.0073851412162184715,4.063274900545366e-06,2.4836957891238853e-05,0.006556612439453602,1.7383181329932995e-05
adam,3000,0.008391624316573143,1.63195509230718e-05,4.3274798372294754e-05,0.006091100163757801,2.358206984354183e-05
adam,3100,0.006483543198555708,3.4524571219662903e-06,2.617050995468162e-05,0.005730129312723875,1.4646323506894987e-05
adam,3200,0.006070958916097879,3.1596507596987067e-06,2.5881672627292573e-05,0.005365642253309488,1.305344994761981e-05
adam,3300,0.018737683072686195,0.00011654724949039519,0.0001703320594970137,0.0049718525260686874,4.077853373019025e-05
