stage,iter,total,L_ic,L_bc,L_pde,L_mass
adam,1,46.81151580810547,0.3296482563018799,1.319580078125,0.0015880814753472805,0.06493017822504044
adam,100,2.631786823272705,0.025461571291089058,0.0057897865772247314,0.026459038257598877,0.00012728826550301164
adam,200,0.3078973591327667,0.0016830929089337587,0.0016869599930942059,0.12167622894048691,0.00010422434570500627
adam,300,0.14865586161613464,0.0004724625905510038,0.0003972211270593107,0.09730790555477142,1.2949310075782705e-05
adam,400,0.09346035867929459,0.00016480217163916677,0.0002950460184365511,0.07390142977237701,1.2825265912397299e-05
adam,500,0.0728040486574173,9.498234430793673e-05,0.00022712885402143002,0.0609186515212059,1.1587091648834758e-05
adam,600,0.061672791838645935,7.163721602410078e-05,0.00013770385703537613,0.053042106330394745,8.992577932076529e-06
adam,700,0.054549653083086014,5.992567093926482e-05,7.764158362988383e-05,0.04771418496966362,6.648699582001427e-06
adam,800,0.04951167106628418,5.349541606847197e-05,4.400756006361917e-05,0.04367286339402199,4.918986633128952e-06
adam,900,0.04557494446635246,4.959099896950647e-05,2.661196413100697e-05,0.040312230587005615,3.7494994558073813e-06
adam,1000,0.043150026351213455,5.2623967349063605e-05,5.083422001916915e-05,0.03735097125172615,2.831738356690039e-06
adam,1100,0.03932787850499153,4.464995436137542e-05,1.3825308997184038e-05,0.034698665142059326,2.5965928216464818e-06
adam,1200,0.03670702874660492,4.268945849617012e-05,1.2718335710815154e-05,0.032287128269672394,2.3769580366206355e-06
adam,1300,0.03783600404858589,6.178238254506141e-05,0.0001647352910367772,0.02998178079724312,2.8634256068471586e-06
adam,1400,0.031870175153017044,3.861721052089706e-05,1.2602121387317311e-05,0.027856970205903053,2.5463848487561336e-06
adam,1500,0.03089483082294464,4.422707934281789e-05,7.975332118803635e-05,0.025643572211265564,3.1017254968901398e-06
adam,1600,0.026871342211961746,3.39782091032248e-05,1.463639364374103e-05,0.023295197635889053,3.1958345516613917e-06
adam,1700,0.024246200919151306,3.1595322070643306e-05,2.0236042473698035e-05,0.02084788680076599,3.6421592994884122e-06
adam,1800,0.021486802026629448,2.9014760002610274e-05,1.5812107449164614e-05,0.01838826946914196,3.89343085771543e-06
adam,1900,0.019030442461371422,2.7253938242211007e-05,2.464830868120771e-05,0.016017785295844078,4.078001893503824e-06
adam,2000,0.016553496941924095,2.433915506117046e-05,1.481998242525151e-05,0.013932271860539913,3.911034127668245e-06
adam,2100,0.014524980448186398,2.182950083806645e-05,1.4738138816028368e-05,0.012157337740063667,3.731191100087017e-06
adam,2200,0.02689172700047493,0.00010936523176496848,0.0005176417762413621,0.010708808898925781,6.997839136602124e-06
adam,2300,0.011481532827019691,1.6850410247570835e-05,1.6397236322518438e-05,0.00959800835698843,3.451125166975544e-06
adam,2400,0.010371956042945385,1.4352460311783943e-05,1.7384145394316874e-05,0.0087279649451375,3.4903446248790715e-06
adam,2500,0.010158590972423553,1.698034247965552e-05,4.017048922833055e-05,0.008020220324397087,3.863161964545725e-06
adam,2600,0.008684626780450344,1.0066693903354462e-05,2.095865784212947e-05,0.007432917598634958,3.5453347209113417e-06
adam,2700,0.008014135994017124,8.19453998701647e-06,2.2458452804130502e-05,0.006935548037290573,3.454915713518858e-06
adam,2800,0.007421706337481737,6.747015959263081e-06,2.343203595955856e-05,0.006479297298938036,3.3386806990165496e-06
adam,2900,0.006983946077525616,6.337600552797085e-06,2.665338797669392e-05,0.006050215568393469,3.3436208468629047e-06
adam,3000,0.006454839836806059,4.945428372593597e-06,2.5391984308953397e-05,0.005676008760929108,3.0368594252649928e-06
adam,3100,0.006023653317242861,4.3122117858729325e-06,2.5261022528866306e-05,0.0053112804889678955,2.854144213415566e-06
adam,3200,0.00732684601098299,1.4367763469635975e-05,9.080937161343172e-05,0.0049512749537825584,3.0700878141942667e-06
adam,3300,0.005254582967609167,3.597722525228164e-06,2.57299943768885e-05,0.004611903335899115,2.5607255338400137e-06
adam,3400,0.004898407496511936,3.317249138490297e-06,2.436663635307923e-05,0.0043000089935958385,2.300753521922161e-06
adam,3500,0.004563320428133011,3.124703880530433e-06,2.3332544515142217e-05,0.003996515646576881,2.100895699186367e-06
adam,3600,0.004292777739465237,3.1547951948596165e-06,2.489576036168728e-05,0.0037073702551424503,2.0970551304344554e-06
adam,3700,0.0039857835508883,2.880389274650952e-06,2.2323973098536953e-05,0.00345639418810606,1.8111115878127748e-06
adam,3800,0.0037232874892652035,2.775835810098215e-06,2.134067653969396e-05,0.0032155360095202923,1.6761101733209216e-06
adam,3900,0.0055107176303863525,1.6480960766784847e-05,8.53252422530204e-05,0.0029892511665821075,2.0118063730478752e-06
adam,4000,0.003275217954069376,2.6684786007535877e-06,2.1481597286765464e-05,0.002777392975986004,1.6161123994606896e-06
adam,4100,0.003071352606639266,2.5775136691663647e-06,2.0549745386233553e-05,0.0025924702640622854,1.5633369230272365e-06
adam,4200,0.0028877195436507463,2.5271235699619865e-06,2.018854138441384e-05,0.002417563460767269,1.5558471204712987e-06
adam,4300,0.002818936249241233,3.0334413168020546e-06,2.4869594199117273e-05,0.0022495754528790712,1.732067289594852e-06
adam,4400,0.0025768480263650417,2.451637328704237e-06,2.068351568595972e-05,0.002108367159962654,1.6482113096571993e-06
adam,4500,0.002434996422380209,2.4158086944225943e-06,2.0263971237000078e-05,0.0019744469318538904,1.6328772289853077e-06
adam,4600,0.0050885239616036415,2.1507221390493214e-05,0.00010725452011683956,0.0018441962311044335,2.1060325252619805e-06
adam,4700,0.002191038802266121,2.360937514822581e-06,2.0681025489466265e-05,0.0017313985154032707,1.673624183240463e-06
adam,4800,0.0020774516742676497,2.3243396753969137e-06,2.0091476471861824e-05,0.0016281146090477705,1.5988355244189734e-06
adam,4900,0.0019698087126016617,2.296138745805365e-06,1.9526396499713883e-05,0.0015297826612368226,1.5148191323532956e-06
adam,5000,0.0019453897839412093,2.6740838166006142e-06,2.320636485819705e-05,0.0014293494168668985,1.6568361616009497e-06
adam,5100,0.0017978145042434335,2.2295923827186925e-06,2.048638452833984e-05,0.001355110201984644,1.4881198922012118e-06
adam,5200,0.0017131682252511382,2.1887317416258156e-06,1.9721066564670764e-05,0.00128359894733876,1.3485480394592742e-06
adam,5300,0.0016333343228325248,2.154256890207762e-06,1.903534030134324e-05,0.0012153825955465436,1.2172656624898082e-06
adam,5400,0.001557814422994852,2.1199919046921423e-06,1.840759432525374e-05,0.0011508290190249681,1.091026888389024e-06
adam,5500,0.0026302554178982973,9.661331205279566e-06,5.6344157201237977e-05,0.0010834054555743933,1.7275413028983166e-06
adam,5600,0.001434643054381013,2.0393854356370866e-06,1.868419349193573e-05,0.0010341525776311755,9.710016684039147e-07
adam,5700,0.0013756782282143831,1.9905601220671088e-06,1.80286788236117e-05,0.0009878536220639944,8.481796953674348e-07
adam,5800,0.0013206491712480783,1.9457497728581075e-06,1.745870031300001e-05,0.0009439746499992907,7.512567208323162e-07
adam,5900,0.0015571611002087593,4.451161657925695e-06,1.9545235772966407e-05,0.0008968051406554878,1.9787401015491923e-06
adam,6000,0.0012359069660305977,1.8552414076111745e-06,1.7849863070296124e-05,0.0008650846430100501,6.799625111852947e-07
adam,6100,0.0011930279433727264,1.8019998151430627e-06,1.723710920487065e-05,0.0008343196823261678,6.137136097095208e-07
adam,6200,0.0011524326400831342,1.7552879398863297e-06,1.667698597884737e-05,0.0008044602000154555,5.673682608176023e-07
adam,6300,0.0021270334254950285,8.758765943639446e-06,4.706416075350717e-05,0.0007716118707321584,8.903522825676191e-07
adam,6400,0.0010865803342312574,1.6494833516844665e-06,1.6704751033103094e-05,0.0007491930737160146,5.3914556019663e-07
adam,6500,0.0019236508524045348,9.585617590346374e-06,1.8370283214608207e-05,0.0007256854441948235,5.570093435380841e-06
adam,6600,0.0013804559130221605,3.929005742975278e-06,2.8006657885271125e-05,0.000701913028024137,5.575765271714772e-07
adam,6700,0.0011806321563199162,2.777999043246382e-06,2.1553267288254574e-05,0.0006813788786530495,5.920756507293845e-07
adam,6800,0.0009690888691693544,1.4820460592090967e-06,1.5599600374116562e-05,0.0006601349450647831,4.753281075409177e-07
