stage,iter,total,L_ic,L_bc,L_pde,L_mass
adam,1,46.95534133911133,0.3296482563018799,1.3327422142028809,0.013790527358651161,0.06493017822504044
adam,100,2.63637638092041,0.025493619963526726,0.005654959008097649,0.029138168320059776,0.00013267896429169923
adam,200,0.3346859812736511,0.001734958728775382,0.0018291845917701721,0.14152462780475616,0.00013736568507738411
adam,300,0.1769077628850937,0.0005032955086790025,0.0004805432981811464,0.12155391275882721,2.1886871763854288e-05
adam,400,0.12203401327133179,0.00018694420577958226,0.0003496241115499288,0.09967582672834396,1.6752443116274662e-05
adam,500,0.10149025917053223,0.00011224440095247701,0.00026026772684417665,0.08751486241817474,1.4827834093011916e-05
adam,600,0.09008228778839111,8.602489833720028e-05,0.00014651806850451976,0.07989362627267838,1.2099324521841481e-05
adam,700,0.08252055943012238,7.269597699632868e-05,7.20015523256734e-05,0.07442832738161087,1.0261623174301349e-05
adam,800,0.07829132676124573,7.526130502810702e-05,7.078424823703244e-05,0.06994327902793884,1.1407317288103513e-05
adam,900,0.07227858901023865,6.032848614268005e-05,1.9803108443738893e-05,0.06593829393386841,1.0941716027446091e-05
adam,1000,0.06840308755636215,5.847951251780614e-05,2.3262155082193203e-05,0.06218285858631134,1.3965419384476263e-05
adam,1100,0.06451232731342316,5.4409592848969623e-05,2.4793744159978814e-05,0.058651670813560486,1.7176189430756494e-05
adam,1200,0.0611773245036602,5.211722236708738e-05,3.676470441860147e-05,0.05538938567042351,2.0856632545473985e-05
adam,1300,0.05897722765803337,5.529550617211498e-05,9.207247785525396e-05,0.052291397005319595,2.3555361622129567e-05
adam,1400,0.054977983236312866,4.769656152348034e-05,6.285664858296514e-05,0.049330584704875946,2.4917660994105972e-05
adam,1500,0.051904596388339996,4.513635212788358e-05,7.586454012198374e-05,0.046397749334573746,2.3456523194909096e-05
adam,1600,0.04889092221856117,4.245563832228072e-05,8.872790931491181e-05,0.04355579614639282,2.022816988755949e-05
adam,1700,0.04585382342338562,3.953567647840828e-05,9.534861601423472e-05,0.04078384116292,1.629301368666347e-05
adam,1800,0.05220513418316841,9.458027489017695e-05,0.0004516777698881924,0.03802613914012909,2.0419041902641766e-05
adam,1900,0.039978351444005966,3.301226388430223e-05,9.962016338249668e-05,0.03554767370223999,1.3324960491445381e-05
adam,2000,0.03716174140572548,2.9365313821472228e-05,9.442977170692757e-05,0.03311844542622566,1.6246596715063788e-05
adam,2100,0.034920427948236465,2.8332109650364146e-05,0.00010501884389668703,0.030832063406705856,2.0496523575275205e-05
adam,2200,0.03201386332511902,2.196312379965093e-05,7.929758430691436e-05,0.028773479163646698,2.5109498892561533e-05
adam,2300,0.029607519507408142,1.824113860493526e-05,6.902972381794825e-05,0.026818227022886276,2.7488211344461888e-05
adam,2400,0.027428997680544853,1.515656003903132e-05,6.11445284448564e-05,0.02502383477985859,2.7806150683318265e-05
adam,2500,0.025341521948575974,1.2260146831977181e-05,5.020057869842276e-05,0.02335939183831215,2.5410998205188662e-05
adam,2600,0.02331707254052162,9.909734217217192e-06,3.985857620136812e-05,0.021709024906158447,2.1848776668775827e-05
adam,2700,0.021512098610401154,8.480011274514254e-06,3.214527532691136e-05,0.020164730027318,1.7791449863580056e-05
adam,2800,0.019760409370064735,6.996155207161792e-06,2.134232818207238e-05,0.018718527629971504,1.2884240277344361e-05
adam,2900,0.01814620941877365,5.933455668127863e-06,1.3432359992293641e-05,0.017333293333649635,8.524781151209027e-06
adam,3000,0.017781373113393784,1.1638573596428614e-05,4.668171823141165e-05,0.016086312010884285,6.438690888899146e-06
adam,3100,0.01564032770693302,4.541049747786019e-06,1.1010652997356374e-05,0.015042657032608986,3.345886398165021e-06
adam,3200,0.014640339650213718,3.87631780540687e-06,1.17801519081695e-05,0.014109008014202118,2.5898525564116426e-06
adam,3300,0.014317341148853302,7.322750207094941e-06,2.9365450245677494e-05,0.013245021924376488,4.638914560928242e-06
adam,3400,0.012941359542310238,3.0632716061518295e-06,1.0289018064213451e-05,0.012511814944446087,2.032691554632038e-06
adam,3500,0.012188958004117012,2.6922177767119138e-06,9.343426427221857e-06,0.011804784648120403,2.151769876945764e-06
adam,3600,0.01687288098037243,3.828108310699463e-05,0.0001855057489592582,0.01113430317491293,5.5412119763786905e-06
adam,3700,0.010913186706602573,2.415030849078903e-06,7.968375030031893e-06,0.010560763068497181,3.1236188533512177e-06
adam,3800,0.010362544097006321,2.0881598175037652e-06,8.15271141618723e-06,0.010034685954451561,3.7514864743570797e-06
adam,3900,0.00986793264746666,1.8628932139108656e-06,8.992226867121644e-06,0.00954623892903328,4.5482493078452535e-06
adam,4000,0.00941641815006733,1.6671904177201213e-06,9.960815987142269e-06,0.009095044806599617,5.504541604750557e-06
adam,4100,0.009100326336920261,2.034610133705428e-06,1.2711836461676285e-05,0.008697749115526676,7.1998019848251715e-06
adam,4200,0.00868482980877161,1.445456973669934e-06,1.1026279935322236e-05,0.008352279663085938,7.774097866786178e-06
adam,4300,0.008347505703568459,1.2861231653005234e-06,1.1221430213481653e-05,0.008019882254302502,8.67966446094215e-06
adam,4400,0.037235818803310394,0.00020238703291397542,0.000904962420463562,0.007726229727268219,2.2125846953713335e-05
adam,4500,0.0077627552673220634,1.1708166312018875e-06,1.075440195563715e-05,0.007426494266837835,1.1163553608639631e-05
adam,4600,0.00748065672814846,1.0396722700534156e-06,1.017139948089607e-05,0.0071581886149942875,1.1678706869133748e-05
adam,4700,0.007208557333797216,9.51995048126264e-07,9.691315426607616e-06,0.006891118362545967,1.2532614164229017e-05
adam,4800,0.00865981262177229,1.3050394954916555e-05,5.8025521866511554e-05,0.006615256424993277,1.5926196283544414e-05
adam,4900,0.006730576977133751,8.980116490420187e-07,7.918955816421658e-06,0.006421984639018774,1.3960147953184787e-05
adam,5000,0.006494524423032999,8.31278725854645e-07,7.38784819986904e-06,0.006193740293383598,1.4377747902472038e-05
adam,5100,0.04518663138151169,0.0002735702437348664,0.001153541263192892,0.006021522451192141,2.7267153200227767e-05
adam,5200,0.006079884711652994,7.755920705676544e-07,6.175040653033648e-06,0.005791164934635162,1.494101707066875e-05
adam,5300,0.006344321183860302,3.8060388760641217e-06,1.5672692825319245e-05,0.005653625354170799,1.5336505384766497e-05
adam,5400,0.005713630001991987,7.083509672156652e-07,5.4602123782387935e-06,0.0054399375803768635,1.4825518519501202e-05
adam,5500,0.02320430800318718,0.00012525335478130728,0.0005178815918043256,0.00528968358412385,2.1047284462838434e-05
adam,5600,0.005397569853812456,6.687861286991392e-07,5.31936393599608e-06,0.005136743187904358,1.4075441868044436e-05
adam,5700,0.038426149636507034,0.00023857757332734764,0.0009303853148594499,0.004957410041242838,3.071266473853029e-05
adam,5800,0.005110919009894133,5.945926773165411e-07,5.4391603043768555e-06,0.004864754155278206,1.323138531006407e-05
adam,5900,0.004965868312865496,5.275778676150367e-07,5.477512786455918e-06,0.004731971304863691,1.2636432074941695e-05
adam,6000,0.005956594832241535,8.259868991444819e-06,3.814960291492753e-05,0.004624772351235151,1.2433956726454198e-05
adam,6100,0.006031373981386423,9.925787708198186e-06,4.058956619701348e-05,0.0045138997957110405,1.1899954188265838e-05
adam,6200,0.004618845414370298,5.14579369337298e-07,5.742831945099169e-06,0.004402389284223318,1.0757014024420641e-05
adam,6300,0.004492868669331074,4.3245648839729256e-07,5.616193448076956e-06,0.004293232690542936,1.002285807771841e-05
adam,6400,0.005314183887094259,7.00673717801692e-06,3.157128958264366e-05,0.0041969045996665955,1.0089250281453133e-05
adam,6500,0.0042930832132697105,4.14133666026828e-07,5.419629815150984e-06,0.004110836889594793,8.663666449137963e-06
adam,6600,0.004243210889399052,7.463340239155514e-07,6.522580406453926e-06,0.0040205903351306915,8.276166227005888e-06
adam,6700,0.004090695641934872,3.514235515922337e-07,5.227085694059497e-06,0.003929039463400841,7.424314844683977e-06
adam,6800,0.004336128011345863,2.7369960662326775e-06,1.2930227967444807e-05,0.0038645323365926743,6.859399491077056e-06
adam,6900,0.004204174038022757,2.419044903945178e-06,1.1533605174918193e-05,0.003781805979087949,6.512722393381409e-06
adam,7000,0.003826647764071822,3.45879868746124e-07,4.7446701501030475e-06,0.003687539603561163,5.707365289708832e-06
adam,7100,0.003790321061387658,5.821032686981198e-07,5.26257099409122e-06,0.003629459301009774,5.002573288948042e-06
adam,7200,0.0036744314711540937,3.3223921036551474e-07,4.4369417082634754e-06,0.0035506796557456255,4.615845682565123e-06
adam,7300,0.00434583006426692,5.900602900510421e-06,2.2364007236319594e-05,0.0034746616147458553,5.746830993302865e-06
adam,7400,0.0035286785569041967,3.170118247908249e-07,4.501926468947204e-06,0.0034137358888983727,3.822228791250382e-06
adam,7500,0.003694369923323393,2.8233080229256302e-06,4.355884811957367e-06,0.003331403946503997,3.707650648721028e-06
adam,7600,0.027270523831248283,0.00017595825192984194,0.0006235034670680761,0.003314749803394079,1.2491319466789719e-05
adam,7700,0.0033383374102413654,3.4117152836188325e-07,4.632409400073811e-06,0.0032291708048433065,2.872527829822502e-06
adam,7800,0.0032671161461621523,4.146669709825801e-07,4.629329851013608e-06,0.0031520752236247063,2.728094841586426e-06
adam,7900,0.004130034241825342,7.090089184202952e-06,2.793930980260484e-05,0.003114613238722086,2.7018941182177514e-06
adam,8000,0.0031601297669112682,3.153299417135713e-07,4.642118256015237e-06,0.003059219103306532,2.2956317025091266e-06
adam,8100,0.00564690912142396,2.6076193535118364e-05,4.5311103349376936e-06,0.0029043955728411674,8.9582954387879e-06
adam,8200,0.0030576526187360287,2.9909631393820746e-07,4.682075996242929e-06,0.0029605410527437925,2.038106231339043e-06
adam,8300,0.021043986082077026,0.00015625123342033476,0.0002044655120698735,0.0031271083280444145,2.470985236868728e-05
adam,8400,0.002967237960547209,3.101990841969382e-07,4.555770374281565e-06,0.002872553886845708,1.810658659451292e-06
adam,8500,0.01661013811826706,0.00010157964425161481,0.0003483144973870367,0.002848003525286913,1.2102517757739406e-05
adam,8600,0.002871291944757104,3.082531065956573e-07,4.745514161186293e-06,0.0027734441682696342,1.956741925823735e-06
adam,8700,0.0035910801962018013,7.141958121792413e-06,5.718962256651139e-06,0.002791438717395067,2.8256090445211157e-06
adam,8800,0.01409110613167286,8.572939987061545e-05,0.00027618309832178056,0.002680043689906597,7.629074389114976e-06
adam,8900,0.0027433722279965878,3.126569367850607e-07,4.522357812675182e-06,0.0026482203975319862,1.8662469756236533e-06
adam,9000,0.010108000598847866,5.699606117559597e-05,0.00017047597793862224,0.0026805296074599028,2.3105633317754837e-06
adam,9100,0.0026755533181130886,3.0174206244737434e-07,4.2106853470613714e-06,0.0025859656743705273,1.7306624613411259e-06
adam,9200,0.0033121672458946705,5.583925485552754e-06,1.8410424672765657e-05,0.0025384186301380396,3.1251945529220393e-06
adam,9300,0.002594063989818096,3.0099721470833174e-07,4.4769267333322205e-06,0.0025002947077155113,1.8900150280387606e-06
adam,9400,0.002736636670306325,1.9347075976838823e-06,5.678771231032442e-06,0.0024674376472830772,1.8940545487566851e-06
adam,9500,0.00256892922334373,5.203042405810265e-07,4.97253631692729e-06,0.002448128070682287,1.90453488357889e-06
adam,9600,0.010857479646801949,6.942257459741086e-05,0.00014588871272280812,0.002328085945919156,1.282496850762982e-05
adam,9700,0.0024725599214434624,2.896362616411352e-07,4.437142706592567e-06,0.0023805208038538694,1.8703992736845976e-06
adam,9800,0.0025228974409401417,1.0892550790231326e-06,4.25542248194688e-06,0.0023519927635788918,1.9425019672780763e-06
adam,9900,0.008018778637051582,4.330715455580503e-05,0.00013157667126506567,0.0023100022226572037,6.229459359019529e-06
adam,10000,0.0023838235065340996,2.899579953918874e-07,4.546177478914615e-06,0.0022909773979336023,1.83886061222438e-06
lbfgs,0,0.0023834321182221174,3.063537974412611e-07,4.54334849564475e-06,0.002288888208568096,1.847511384767131e-06
lbfgs,50,0.002030120464041829,5.127664053361514e-07,7.78252706368221e-06,0.0018699986394494772,3.1019894777273294e-06
lbfgs,100,0.0016803632024675608,5.583758593274979e-07,8.577488188166171e-06,0.001505338354036212,3.3412311495339964e-06
lbfgs,150,0.0014009635196998715,2.567419130627968e-07,8.020620043680537e-06,0.0012501667952165008,4.491628260439029e-06
lbfgs,200,0.001073462306521833,3.2721140996727627e-07,3.893681423505768e-06,0.0009212501463480294,8.055413672991563e-06
lbfgs,250,0.0008914325735531747,4.7284288484661374e-07,3.2717794056225102e-06,0.0007753203390166163,3.611015472415602e-06
lbfgs,300,0.000689667125698179,5.740946562582394e-07,2.9690877454413567e-06,0.0005388052668422461,6.37615448795259e-06
lbfgs,350,0.0006259499350562692,3.6730165220433264e-07,3.490999006316997e-06,0.0004800685856025666,7.424117029586341e-06
lbfgs,400,0.0005161020089872181,2.261283782445389e-07,1.996683749894146e-06,0.00044546296703629196,2.8059357646270655e-06
lbfgs,450,0.0004273593076504767,2.4234293505287496e-07,2.2218355297809467e-06,0.0003639400820247829,1.6966563407549984e-06
lbfgs,500,0.0004061573126818985,3.2891358614506316e-07,3.5268576539237984e-06,0.00032747667864896357,1.05207220713055e-06
lbfgs,550,0.00035918474895879626,2.929824916009238e-07,3.248861958127236e-06,0.0002878965751733631,9.501293902758334e-07
lbfgs,600,0.0003339295508340001,2.650274097959482e-07,2.0311358639446553e-06,0.00027619890170171857,1.0916542123595718e-06
lbfgs,650,0.00028987982659600675,9.968945136051843e-08,1.5418800103361718e-06,0.00024925978505052626,1.5232292298605898e-06
lbfgs,700,0.00026954192435368896,7.80399318500713e-08,1.6502119706274243e-06,0.00023000418150331825,1.523164655736764e-06
lbfgs,750,0.0002568592026364058,7.968297666138824e-08,1.9846202121698298e-06,0.00021235508029349148,1.6689614312781487e-06
lbfgs,800,0.000232715712627396,8.644236970667407e-08,2.017725591940689e-06,0.00019460858311504126,9.285639634981635e-07
lbfgs,850,0.0002042721025645733,8.333991985409739e-08,1.8105338313034736e-06,0.0001715718535706401,6.260923441914201e-07
lbfgs,900,0.00019202542898710817,1.0039575215614605e-07,1.9061343436987954e-06,0.0001578945229994133,5.029984322391101e-07
lbfgs,950,0.00018461578292772174,8.65641993641475e-08,1.6006372334231855e-06,0.00015477546548936516,5.177525395083649e-07
lbfgs,1000,0.00017848974675871432,9.055718663830703e-08,1.5952972489685635e-06,0.00014776764146517962,5.713412747354596e-07
lbfgs,1050,0.0001683452574070543,8.772875759177623e-08,1.8707020217334502e-06,0.0001346918725175783,6.173495421535335e-07
