stage,iter,total,L_ic,L_bc,L_pde,L_mass
adam,1,33.616981506347656,0.3296482563018799,0.00016517326002940536,0.0012034617830067873,0.06493017822504044
adam,100,1.8128219842910767,0.017796220257878304,0.00019870346295647323,0.030675100162625313,5.379177673603408e-05
adam,200,0.1809828132390976,0.0007635693764314055,1.0032716090790927e-05,0.10434628278017044,1.7925422071130015e-05
adam,300,0.1048550084233284,0.00024194781144615263,1.540207267680671e-05,0.08033162355422974,1.7458571164752357e-05
adam,400,0.07424157112836838,9.802254498936236e-05,1.4166878827381879e-05,0.06417553871870041,1.221105321747018e-05
adam,500,0.06166822835803032,6.787588790757582e-05,1.1349395208526403e-05,0.05466539040207863,1.017547219817061e-05
adam,600,0.05562737584114075,6.280981324380264e-05,9.538796803099103e-06,0.04916355386376381,8.744954357098322e-06
adam,700,0.052062422037124634,6.138920434750617e-05,8.726874511921778e-06,0.04576408863067627,7.214513061626349e-06
adam,800,0.04935294762253761,5.951047205599025e-05,8.456681825919077e-06,0.0432593934237957,5.793893706140807e-06
adam,900,0.04690936580300331,5.699165558326058e-05,8.484048521495424e-06,0.04107885807752609,4.650139999284875e-06
adam,1000,0.044523753225803375,5.416799467639066e-05,8.700896614755038e-06,0.03898197412490845,3.7972151858411962e-06
adam,1100,0.04210837185382843,5.124505696585402e-05,9.063137440534774e-06,0.03686140477657318,3.1829270028538303e-06
adam,1200,0.03962196037173271,4.830979014514014e-05,9.557451448927168e-06,0.034667860716581345,2.7543596843315754e-06
adam,1300,0.03707354515790939,4.5465672883437946e-05,1.0182077858189587e-05,0.032400406897068024,2.4752007448114455e-06
adam,1400,0.03445332497358322,4.256790634826757e-05,1.08894982986385e-05,0.030063631013035774,2.401109895799891e-06
adam,1500,0.03176805377006531,3.963172639487311e-05,1.1664932571875397e-05,0.027661867439746857,2.636229055497097e-06
adam,1600,0.043501902371644974,0.0001818743476178497,1.2451786460587755e-05,0.02513481117784977,5.513692030945094e-06
adam,1700,0.02598065510392189,3.3152500691358e-05,1.3084725651424378e-05,0.02248494140803814,4.961644663126208e-06
adam,1800,0.05238886922597885,0.0003246915293857455,1.3539864085032605e-05,0.019657960161566734,1.2635307029995602e-05
adam,1900,0.01970161497592926,2.6161344067077152e-05,1.378001252305694e-05,0.01683756895363331,1.1011249625880737e-05
adam,2000,0.016770608723163605,2.2694823201163672e-05,1.354758751404006e-05,0.014225730672478676,1.3992047570354771e-05
adam,2100,0.01429417822510004,1.9498455003486015e-05,1.2969822819286492e-05,0.012063023634254932,1.5161088413151447e-05
adam,2200,0.012252221815288067,1.6241705452557653e-05,1.2052852980559692e-05,0.010372715070843697,1.348084242636105e-05
adam,2300,0.01094168983399868,1.6135219993884675e-05,1.1113424989162013e-05,0.009114330634474754,1.0270273378409911e-05
adam,2400,0.009472653269767761,1.0836643923539668e-05,1.0476081115484703e-05,0.00820984598249197,7.438231477863155e-06
adam,2500,0.008533847518265247,8.699060344952159e-06,9.903622412821278e-06,0.0075139692053198814,5.093555500934599e-06
adam,2600,0.014785404317080975,7.668320904485881e-05,9.536736797599588e-06,0.0069381133653223515,8.360187166545074e-06
adam,2700,0.007181367836892605,5.985338702885201e-06,9.306329957325943e-06,0.006460830569267273,2.8940060019522207e-06
adam,2800,0.006648636888712645,5.0559633564262185e-06,9.031421541294549e-06,0.006029664073139429,2.3062234504322987e-06
adam,2900,0.009191007353365421,3.443980676820502e-05,8.903322850528639e-06,0.005618939641863108,3.905410267179832e-06
adam,3000,0.005754540208727121,3.963063591072569e-06,8.705585059942678e-06,0.00525406701490283,1.711138907012355e-06
adam,3100,0.0053495685569942,3.5313530588609865e-06,8.469341992167756e-06,0.004896943923085928,1.4795942888667923e-06
adam,3200,0.005352947395294905,7.0841447268321645e-06,8.407276254729368e-06,0.0045437561348080635,1.6704416339052841e-06
adam,3300,0.004606263712048531,2.966864713016548e-06,8.235581844928674e-06,0.00421435059979558,1.2870790442320867e-06
adam,3400,0.004244236275553703,2.6950153824145673e-06,8.072044693108182e-06,0.003882089164108038,1.1924985301448032e-06
adam,3500,0.0040304702706635,3.7174218050495256e-06,8.207158316508867e-06,0.0035631151404231787,1.3541374528358574e-06
adam,3600,0.00360845192335546,2.3314244117500493e-06,8.169787179213017e-06,0.003281534416601062,1.2077105111529818e-06
adam,3700,0.0033209798857569695,2.127175775967771e-06,8.155145224009175e-06,0.0030157649889588356,1.0945949497909169e-06
adam,3800,0.0030575781129300594,1.95995312424202e-06,8.19862907519564e-06,0.0027700294740498066,9.567095275997417e-07
adam,3900,0.0028444756753742695,1.9139126834488707e-06,8.543711373931728e-06,0.002557514002546668,1.0133313708138303e-06
adam,4000,0.0026343613862991333,1.7236430949196802e-06,8.633134711999446e-06,0.0023679756559431553,7.690093184464786e-07
adam,4100,0.002446709433570504,1.6026849607442273e-06,8.783747034613043e-06,0.0021926737390458584,5.929807684879052e-07
adam,4200,0.0023669127840548754,2.252118520118529e-06,9.332638001069427e-06,0.002040456049144268,7.918498567960341e-07
adam,4300,0.002152656437829137,1.4436898254643893e-06,9.465084076509811e-06,0.001909230719320476,4.4059328274670406e-07
adam,4400,0.0020208293572068214,1.3500902014129679e-06,9.674104148871265e-06,0.001785778789781034,3.300512503301434e-07
adam,4500,0.0019011509139090776,1.2753667988363304e-06,9.917813258653041e-06,0.0016718284459784627,2.6077466941387684e-07
