stage,iter,total,L_ic,L_bc,L_pde,L_mass
adam,1,33.70390319824219,0.3296482563018799,0.006805315148085356,0.021721957251429558,0.06493017822504044
adam,100,1.8286073207855225,0.017792850732803345,0.002364674350246787,0.024671411141753197,0.00010040941560873762
adam,200,0.1944393366575241,0.0007871421985328197,0.0006364141590893269,0.10920622199773788,1.5474119209102355e-05
adam,300,0.1217069998383522,0.00026421918300911784,0.000491312996018678,0.09025482088327408,1.171318581327796e-05
adam,400,0.09224852919578552,0.00011382091179257259,0.00043558163451962173,0.07640829682350159,1.0232494787487667e-05
adam,500,0.07947664707899094,7.714598905295134e-05,0.0004175097565166652,0.06748706847429276,9.988376405090094e-06
adam,600,0.07254020124673843,6.785877485526726e-05,0.00040689014713279903,0.06158493459224701,1.004886598821031e-05
adam,700,0.06768026202917099,6.420657155103981e-05,0.0003966909716837108,0.057188548147678375,1.0414375537948217e-05
adam,800,0.06350595504045486,6.157872849144042e-05,0.00038901172229088843,0.05334504693746567,1.1291850569250528e-05
adam,900,0.05952516570687294,5.91664866078645e-05,0.0003860955766867846,0.04962023347616196,1.2732576578855515e-05
adam,1000,0.05555647611618042,5.6841392506612465e-05,0.0003890024672728032,0.04583606496453285,1.4624858522438444e-05
adam,1100,0.05156370624899864,5.457424049382098e-05,0.00039775785990059376,0.041961971670389175,1.6673136997269467e-05
adam,1200,0.047586847096681595,5.233893170952797e-05,0.0004111160815227777,0.03805787116289139,1.8391976482234895e-05
adam,1300,0.04364198446273804,5.0059694331139326e-05,0.0004262976290192455,0.0341775082051754,1.9553104721126147e-05
adam,1400,0.039549462497234344,4.7479050408583134e-05,0.00043802912114188075,0.030228691175580025,1.9257600797573105e-05
adam,1500,0.03507461026310921,4.466840255190618e-05,0.00043426163028925657,0.026094064116477966,1.7109126929426566e-05
adam,1600,0.030603574588894844,4.662654100684449e-05,0.0004011011333204806,0.021826205775141716,1.0370286872785073e-05
adam,1700,0.025474146008491516,3.700084562296979e-05,0.0003638097259681672,0.01801159977912903,1.243645056092646e-05
adam,1800,0.027528779581189156,8.53426827234216e-05,0.0003534254210535437,0.015021258033812046,4.389980676933192e-05
adam,1900,0.019533740356564522,2.7788837542175315e-05,0.0003490975359454751,0.013110080733895302,1.5380133845610544e-05
adam,2000,0.017739521339535713,2.308033435838297e-05,0.0003543104976415634,0.011744760908186436,1.4362232832354493e-05
adam,2100,0.016407949849963188,1.902961048472207e-05,0.0003578223695512861,0.010796163231134415,1.3060112905805e-05
adam,2200,0.015356493182480335,1.553725996927824e-05,0.0003593942092265934,0.010088007897138596,1.2081799468433019e-05
adam,2300,0.017011605203151703,3.816550088231452e-05,0.0003580416669137776,0.009556873701512814,5.776385933131678e-06
adam,2400,0.013858208432793617,1.0894195838773157e-05,0.00035893439780920744,0.009068544954061508,1.1090024599980097e-05
adam,2500,0.013311415910720825,9.365968253405299e-06,0.00035792842390947044,0.0086872773244977,1.0825729077623691e-05
adam,2600,0.012978396378457546,9.325824976258446e-06,0.00035795316216535866,0.008322417736053467,1.438646449969383e-05
adam,2700,0.01244241464883089,7.5626999205269385e-06,0.00035623222356662154,0.008022021502256393,1.0180055141972844e-05
adam,2800,0.012061003595590591,6.885293714731233e-06,0.00035485316766425967,0.0077253165654838085,9.862489605438896e-06
adam,2900,0.012308103032410145,1.1748928955057636e-05,0.0003547054948285222,0.007406732067465782,1.7942329577635974e-05
adam,3000,0.011361631564795971,6.015757207933348e-06,0.0003509136149659753,0.00716150738298893,8.9412642410025e-06
adam,3100,0.011021120473742485,5.590462933469098e-06,0.00034803766175173223,0.00689632399007678,8.537362191418651e-06
adam,3200,0.0110038286074996,8.075922778516542e-06,0.0003473830292932689,0.006597387604415417,1.250175409950316e-05
adam,3300,0.010383697226643562,4.985597570339451e-06,0.00034084057551808655,0.006394893396645784,8.183917998394463e-06
adam,3400,0.010075481608510017,4.646105026040459e-06,0.0003364523872733116,0.006168300285935402,7.80465779826045e-06
adam,3500,0.009773283265531063,4.33552577305818e-06,0.00033189059467986226,0.005943608935922384,7.72156818129588e-06
adam,3600,0.010967628099024296,1.923580202856101e-05,0.00033067300682887435,0.005716156680136919,2.116057203238597e-06
adam,3700,0.009237600490450859,3.867160103254719e-06,0.0003221733495593071,0.00555161340162158,7.753757017781027e-06
adam,3800,0.008983146399259567,3.5790826586890034e-06,0.00031741996644996107,0.005372567102313042,7.847140295780264e-06
adam,3900,0.008738981559872627,3.315109097457025e-06,0.00031278544338420033,0.005200487561523914,7.912844921520445e-06
adam,4000,0.008540692739188671,3.2104885576700326e-06,0.00031058836611919105,0.005024675279855728,8.908507879823446e-06
adam,4100,0.008322172798216343,2.885827143472852e-06,0.00030444064759649336,0.004908623173832893,8.056052138272207e-06
