stage,iter,total,L_ic,L_bc,L_pde,L_mass
adam,1,36.28086471557617,0.3296482563018799,0.3314836919307709,0.0012034617830067873,0.0
adam,100,2.1029834747314453,0.019056202843785286,0.015337979421019554,0.04398354887962341,0.0
adam,200,0.25645238161087036,0.001097679603844881,0.0006721679237671196,0.13996273279190063,0.0
adam,300,0.13850146532058716,0.00032160046976059675,9.834299271460623e-05,0.10535798966884613,0.0
adam,400,0.09262958914041519,0.0001215731754200533,8.692687697475776e-05,0.07960300147533417,0.0
adam,500,0.07361969351768494,8.186677587218583e-05,0.00013632058107759804,0.06406980752944946,0.0
adam,600,0.06289517134428024,6.692184979328886e-05,0.00011506655573612079,0.055052317678928375,0.0
adam,700,0.05614369735121727,5.7592671510064974e-05,8.440841338597238e-05,0.04954034462571144,0.0
adam,800,0.05124342069029808,5.104163574287668e-05,6.616659084102139e-05,0.04547759145498276,0.0
adam,900,0.04712902754545212,4.6107787056826055e-05,5.709604738513008e-05,0.04194729030132294,0.0
adam,1000,0.04339217022061348,4.216578236082569e-05,5.184153633308597e-05,0.03865717723965645,0.0
adam,1100,0.039938122034072876,3.892284439643845e-05,4.787453144672327e-05,0.03556709364056587,0.0
adam,1200,0.03681083768606186,3.622971780714579e-05,4.479050767258741e-05,0.03273995965719223,0.0
adam,1300,0.04418504238128662,0.00012285777484066784,0.00018280827498529106,0.030071182176470757,0.0
adam,1400,0.03131837397813797,3.1412804673891515e-05,4.1623021388659254e-05,0.027760863304138184,0.0
adam,1500,0.03739398717880249,0.00010339683649362996,0.00016825909551698714,0.02537171170115471,0.0
adam,1600,0.025931155309081078,2.6218729544780217e-05,4.375271964818239e-05,0.022871755063533783,0.0
adam,1700,0.027240630239248276,5.9380334278102964e-05,0.00010327206109650433,0.02026987634599209,0.0
adam,1800,0.020253941416740417,2.0855748516623862e-05,4.7342826292151585e-05,0.01769493892788887,0.0
adam,1900,0.01765597052872181,1.8559790987637825e-05,4.5369532017502934e-05,0.01534629613161087,0.0
adam,2000,0.015583241358399391,1.815419273043517e-05,4.147365689277649e-05,0.013353085145354271,0.0
adam,2100,0.013587374240159988,1.5180708032858092e-05,3.220574217266403e-05,0.01174724567681551,0.0
adam,2200,0.012192283757030964,1.4635395018558484e-05,2.777616464300081e-05,0.010450982488691807,0.0
adam,2300,0.010841378010809422,1.2237095688760746e-05,1.857868119259365e-05,0.009431881830096245,0.0
adam,2400,0.009782516397535801,1.0645988368196413e-05,1.4008596735948231e-05,0.008577832020819187,0.0
adam,2500,0.008833961561322212,9.036569281306583e-06,1.1242511391174048e-05,0.007817879319190979,0.0
adam,2600,0.008018333464860916,7.813051524863113e-06,1.0559087058936711e-05,0.0071314373053610325,0.0
adam,2700,0.007210969924926758,6.382708761520917e-06,8.120020538626704e-06,0.006491499021649361,0.0
adam,2800,0.006484714802354574,5.301022156345425e-06,7.23478706277092e-06,0.005882264580577612,0.0
adam,2900,0.005870887544006109,4.6736199692531954e-06,7.5041662057628855e-06,0.005328483879566193,0.0
adam,3000,0.005259560886770487,3.816726348304655e-06,6.296388619375648e-06,0.004814924206584692,0.0
