stage,iter,total,L_ic,L_bc,L_pde,L_mass
adam,1,36.34862518310547,0.3296482563018799,0.3314836919307709,0.0689626932144165,0.0
adam,100,2.143414258956909,0.019169533625245094,0.01469652820378542,0.0794956162571907,0.0
adam,200,0.3342166543006897,0.0012047627242282033,0.0007812001858837903,0.20592837035655975,0.0
adam,300,0.20485013723373413,0.0003872819652315229,0.00013138081703800708,0.16480812430381775,0.0
adam,400,0.15128985047340393,0.0001625497970962897,4.993745460524224e-05,0.13453549146652222,0.0
adam,500,0.1279532015323639,0.0001081693553715013,6.906452472321689e-05,0.1164456233382225,0.0
adam,600,0.11251667141914368,8.824542601360008e-05,8.247300138464198e-05,0.10286740213632584,0.0
adam,700,0.0992787778377533,7.690629718126729e-05,8.702206832822412e-05,0.09071792662143707,0.0
adam,800,0.0869792252779007,6.8568107963074e-05,9.457615669816732e-05,0.0791766569018364,0.0
adam,900,0.0761345848441124,6.104154454078525e-05,0.0001958264911081642,0.06807216256856918,0.0
adam,1000,0.06817463785409927,5.452585173770785e-05,0.00035304640186950564,0.059191588312387466,0.0
adam,1100,0.06169029325246811,4.895639722235501e-05,0.00042953918455168605,0.05249926075339317,0.0
adam,1200,0.054796211421489716,4.374191848910414e-05,0.0004381948965601623,0.046040069311857224,0.0
adam,1300,0.04489428550004959,3.82724501832854e-05,0.0002935567172244191,0.0381314754486084,0.0
adam,1400,0.03409412503242493,3.2757357985246927e-05,9.945394413080066e-05,0.029823848977684975,0.0
adam,1500,0.027071664109826088,2.7434145522420295e-05,5.4872860346222296e-05,0.023779520764946938,0.0
adam,1600,0.023026470094919205,2.505581869627349e-05,5.649427475873381e-05,0.019955946132540703,0.0
adam,1700,0.020047150552272797,1.9278146282886155e-05,4.46896483481396e-05,0.01767244003713131,0.0
adam,1800,0.027065318077802658,9.816428064368665e-05,8.869582234183326e-05,0.016361933201551437,0.0
adam,1900,0.016769886016845703,1.3147677236702293e-05,3.9833044866099954e-05,0.015056787058711052,0.0
adam,2000,0.015705347061157227,1.0783667676150799e-05,3.74515111616347e-05,0.014252465218305588,0.0
adam,2100,0.014925881288945675,9.187583600578364e-06,3.907018981408328e-05,0.01361642125993967,0.0
adam,2200,0.01423591934144497,7.61983756092377e-06,3.490261224214919e-05,0.01312490925192833,0.0
adam,2300,0.013675574213266373,6.547918019350618e-06,3.396266038180329e-05,0.01268115546554327,0.0
adam,2400,0.013225589878857136,5.890549346077023e-06,3.426902912906371e-05,0.012293844483792782,0.0
adam,2500,0.012820467352867126,5.309679636411602e-06,3.263206599513069e-05,0.011963178403675556,0.0
adam,2600,0.01245472114533186,4.88341993332142e-06,3.209022543160245e-05,0.011645477265119553,0.0
adam,2700,0.02225373685359955,9.496219718130305e-05,0.0001594286586623639,0.011163230985403061,0.0
adam,2800,0.011829272843897343,4.396915755933151e-06,3.090379686909728e-05,0.011080543510615826,0.0
adam,2900,0.011546752415597439,4.173440174781717e-06,3.0771116144023836e-05,0.010821697302162647,0.0
adam,3000,0.011275434866547585,4.004346465080744e-06,3.0453527870122343e-05,0.01057046465575695,0.0
adam,3100,0.011044081300497055,3.962190476158867e-06,3.110287070740014e-05,0.010336833074688911,0.0
adam,3200,0.010800175368785858,3.760112576856045e-06,2.9874476240365766e-05,0.0101254191249609,0.0
adam,3300,0.010570506565272808,3.6324679513199953e-06,2.9662904125871137e-05,0.009910630993545055,0.0
adam,3400,0.010464636608958244,4.7129719860095065e-06,2.7568405130296014e-05,0.00971765536814928,0.0
adam,3500,0.010153204202651978,3.4749616588669596e-06,2.863388908735942e-05,0.009519369341433048,0.0
adam,3600,0.009948140941560268,3.3105188776971772e-06,2.880097417801153e-05,0.009329079650342464,0.0
adam,3700,0.00974962953478098,3.199227649020031e-06,2.8452435799408704e-05,0.009145182557404041,0.0
adam,3800,0.009669167920947075,4.0036570680968e-06,2.6899928343482316e-05,0.008999803103506565,0.0
adam,3900,0.009403127245604992,2.9992868348927004e-06,2.760226561804302e-05,0.008827175945043564,0.0
adam,4000,0.009230426512658596,2.883203023884562e-06,2.7222897188039497e-05,0.008669877424836159,0.0
adam,4100,0.00906213466078043,2.7759049316955497e-06,2.6624426027410664e-05,0.008518300019204617,0.0
adam,4200,0.008943108841776848,2.8247804948478006e-06,2.7443127692095004e-05,0.008386199362576008,0.0
adam,4300,0.008774200454354286,2.5492256554571213e-06,2.5879071472445503e-05,0.008260487578809261,0.0
adam,4400,0.00862979143857956,2.4272792416013544e-06,2.5399247533641756e-05,0.008133071474730968,0.0
adam,4500,0.00854987557977438,2.585056336101843e-06,2.6639176212484017e-05,0.008024978451430798,0.0
adam,4600,0.00839356891810894,2.201668621637509e-06,2.4622479031677358e-05,0.007927177473902702,0.0
adam,4700,0.008274240419268608,2.0765926365129417e-06,2.4190185285988264e-05,0.007824678905308247,0.0
adam,4800,0.021535977721214294,0.00012657212209887803,0.0001343720214208588,0.007535045500844717,0.0
adam,4900,0.00810206588357687,1.8820123841578607e-06,2.3464634068659507e-05,0.0076792179606854916,0.0
adam,5000,0.008008291944861412,1.7519997754789074e-06,2.3223630705615506e-05,0.007600856013596058,0.0
adam,5100,0.007920416072010994,1.636594220144616e-06,2.286811468366068e-05,0.007528075948357582,0.0
adam,5200,0.007837815210223198,1.5226203231577529e-06,2.2531990907737054e-05,0.0074602337554097176,0.0
adam,5300,0.015369988977909088,7.502417429350317e-05,6.079052764107473e-05,0.007259666454046965,0.0
