stage,iter,total,L_ic,L_bc,L_pde,L_mass
adam,1,38.3931770324707,0.3719443678855896,0.0034707982558757067,1.1640355587005615,0.0
adam,100,0.487866073846817,0.0008018269436433911,0.0003820994752459228,0.4038623869419098,0.0
adam,200,0.10747420787811279,0.00020377557666506618,3.884081161231734e-05,0.08670824021100998,0.0
adam,300,0.07554592937231064,9.146725642494857e-05,1.0623770322126802e-05,0.06629296392202377,0.0
adam,400,0.0583767406642437,5.769130802946165e-05,1.5000497114669997e-05,0.05245760455727577,0.0
adam,500,0.04389412701129913,4.627825546776876e-05,1.6730569768697023e-05,0.03909899666905403,0.0
adam,600,0.03246467188000679,4.592761615640484e-05,4.2270599806215614e-05,0.02744920365512371,0.0
adam,700,0.022621316835284233,3.064016345888376e-05,6.558324457728304e-06,0.019491717219352722,0.0
adam,800,0.019146641716361046,3.508305235300213e-05,9.529753879178315e-05,0.014685360714793205,0.0
adam,900,0.013343285769224167,1.8170097973779775e-05,3.862343419314129e-06,0.01148765254765749,0.0
adam,1000,0.010891525074839592,1.8183936845161952e-05,3.1382132874568924e-05,0.008759310469031334,0.0
adam,1100,0.00763024901971221,1.2253555723873433e-05,3.3732162592059467e-06,0.006371161434799433,0.0
adam,1200,0.005642388481646776,1.0934296369669028e-05,3.3332771636196412e-06,0.00451562600210309,0.0
adam,1300,0.004441485740244389,1.018754846882075e-05,5.259638783172704e-06,0.003370134625583887,0.0
adam,1400,0.0036735129542648792,9.485414921073243e-06,2.707336307139485e-06,0.0026978980749845505,0.0
adam,1500,0.0032213956583291292,9.076727110368665e-06,3.409680175536778e-06,0.0022796262055635452,0.0
adam,1600,0.002865188755095005,8.586486728745513e-06,2.0483387288550148e-06,0.0019860565662384033,0.0
adam,1700,0.0025892648845911026,8.200252523238305e-06,1.8826051473297412e-06,0.0017504136776551604,0.0
adam,1800,0.002345323795452714,7.863924111006781e-06,1.749032662701211e-06,0.001541441073641181,0.0
adam,1900,0.0021555093117058277,7.654261935385875e-06,2.661518465174595e-06,0.001363468007184565,0.0
adam,2000,0.0019340531434863806,7.105980785127031e-06,1.4875126908009406e-06,0.0012085798662155867,0.0
adam,2100,0.0017603053711354733,6.7630180637934245e-06,1.406757519362145e-06,0.0010699359700083733,0.0
adam,2200,0.0016642577247694135,6.716642928950023e-06,3.424703663768014e-06,0.0009583463543094695,0.0
adam,2300,0.00147672975435853,6.05619743510033e-06,1.2595742191479076e-06,0.0008585142204537988,0.0
adam,2400,0.001354368170723319,5.729340045945719e-06,1.2089852816643543e-06,0.0007693442748859525,0.0
adam,2500,0.00165027123875916,7.924458259367384e-06,1.5574494682368822e-05,0.0007020804914645851,0.0
adam,2600,0.0011585212778300047,5.0936091611220036e-06,1.0899497056016116e-06,0.0006382608553394675,0.0
adam,2700,0.0010712435469031334,4.800660917680943e-06,1.0589192243060097e-06,0.0005805882974527776,0.0
adam,2800,0.0009982908377423882,4.568906206259271e-06,1.137671006290475e-06,0.0005300235352478921,0.0
adam,2900,0.0009471038356423378,4.352141331764869e-06,1.1654262834781548e-06,0.0005002354737371206,0.0
adam,3000,0.0008714726427569985,3.997464318672428e-06,9.213646308126044e-07,0.0004625125729944557,0.0
adam,3100,0.0008139837300404906,3.752865495698643e-06,8.860746447680867e-07,0.0004298364510759711,0.0
adam,3200,0.0007614326314069331,3.5153000226273434e-06,8.47652358970663e-07,0.0004014261066913605,0.0
adam,3300,0.0007296987459994853,3.3389499094482744e-06,7.814154514562688e-07,0.00038798959576524794,0.0
adam,3400,0.0006851290818303823,3.121560894214781e-06,7.461624704774295e-07,0.00036551139783114195,0.0
adam,3500,0.000646106549538672,2.9268931029946543e-06,7.137489888009441e-07,0.0003462797321844846,0.0
adam,3600,0.0006103207124397159,2.741378239079495e-06,6.765726539015304e-07,0.0003294171183370054,0.0
adam,3700,0.006321155000478029,4.222264396958053e-05,0.00017614600074011832,0.000337430858053267,0.0
adam,3800,0.0005631035892292857,2.4771536573098274e-06,5.788717771793017e-07,0.00030959953437559307,0.0
adam,3900,0.0005348460981622338,2.33044488595624e-06,5.513865630746295e-07,0.0002962877624668181,0.0
adam,4000,0.0005088479374535382,2.1924304292042507e-06,5.231361228652531e-07,0.0002843735564965755,0.0
adam,4100,0.00048450782196596265,2.0614022560039302e-06,4.952702283844701e-07,0.00027341488748788834,0.0
adam,4200,0.02128731645643711,0.00014962400018703192,0.0006004426977597177,0.00032048934372141957,0.0
adam,4300,0.00045731395948678255,1.9275944396213163e-06,4.638881136997952e-07,0.0002599156287033111,0.0
adam,4400,0.00043468113290145993,1.8127353769159527e-06,3.984173417848069e-07,0.000249423406785354,0.0
adam,4500,0.0004148502484895289,1.7125513522842084e-06,3.810783368862758e-07,0.00023978434910532087,0.0
adam,4600,0.0003959141322411597,1.6170047274499666e-06,3.645088213488634e-07,0.00023056854843162,0.0
adam,4700,0.00037761288695037365,1.52558391164348e-06,3.490828248686739e-07,0.00022156364866532385,0.0
adam,4800,0.0004114190232940018,1.8154602230424643e-06,1.2597531622304814e-06,0.00021727547573391348,0.0
adam,4900,0.0003543429193086922,1.437520154468075e-06,3.011193712154636e-07,0.0002075797092402354,0.0
adam,5000,0.0003372895298525691,1.3569220982390107e-06,2.891193844334339e-07,0.00019870612595696002,0.0
adam,5100,0.0003208637936040759,1.2806564200218418e-06,2.7902359533982235e-07,0.00019000792235601693,0.0
adam,5200,0.05819777399301529,0.00042524380842223763,0.001539402874186635,0.00027936507831327617,0.0
adam,5300,0.0003007523191627115,1.2183913895569276e-06,2.8745083113790315e-07,0.0001760386658133939,0.0
adam,5400,0.00028340163407847285,1.1349690112183453e-06,2.3734077103654272e-07,0.00016753132513258606,0.0
adam,5500,0.0002682449121493846,1.0680347486413666e-06,2.2922168341210636e-07,0.00015914921823423356,0.0
adam,5600,0.00028345303144305944,1.2236839666002197e-06,5.385738859331468e-07,0.00015569888637401164,0.0
adam,5700,0.00024929866776801646,1.0091772537634824e-06,2.1080816736684937e-07,0.00014627285418100655,0.0
adam,5800,0.0002347804547753185,9.451976552554697e-07,1.988941420449919e-07,0.00013827174552716315,0.0
adam,5900,0.00022233161143958569,8.960158197623969e-07,2.2793750531491241e-07,0.00013045064406469464,0.0
adam,6000,0.0002468245511408895,1.1158163033542223e-06,8.546552408006391e-07,0.00012669636635109782,0.0
adam,6100,0.0002043408021563664,8.344658795067517e-07,1.7817833963817975e-07,0.00011911243200302124,0.0
adam,6200,0.00019136612536385655,7.780963073855673e-07,1.6869036301159213e-07,0.00011186959454789758,0.0
adam,6300,0.00025605864357203245,1.1554391221579863e-06,1.0386044095866964e-06,0.00013012871204409748,0.0
adam,6400,0.00018166241352446377,7.607019938404846e-07,1.8807730839398573e-07,0.00010371143434895203,0.0
adam,6500,0.00016894916188903153,7.031334234852693e-07,1.6039373917919875e-07,9.703188698040321e-05,0.0
adam,6600,0.00015745697601232678,6.518162081192713e-07,1.481148927950926e-07,9.079420124180615e-05,0.0
adam,6700,0.00015355375944636762,6.727029244757432e-07,1.4018007732374826e-07,8.488167077302933e-05,0.0
adam,6800,0.00018099337466992438,8.657460739414091e-07,9.694136906546191e-07,8.472462650388479e-05,0.0
adam,6900,0.00013645787839777768,5.60468777166534e-07,1.455507288028457e-07,7.895549788372591e-05,0.0
adam,7000,0.00012742883700411767,5.229497901382274e-07,1.3384071451127966e-07,7.379544695140794e-05,0.0
adam,7100,0.0002459637471474707,1.4850460274828947e-06,2.2301073840935715e-06,7.515805918956175e-05,0.0
adam,7200,0.00012524545309133828,5.335314767762611e-07,1.570968493069813e-07,7.032132998574525e-05,0.0
adam,7300,0.00011666402861010283,4.924293648400635e-07,1.3783949270873563e-07,6.604270311072469e-05,0.0
adam,7400,0.00010892307909671217,4.5547943727797247e-07,1.255777704045613e-07,6.211935397004709e-05,0.0
adam,7500,0.0032644285820424557,2.9832584914402105e-05,1.9688763131853193e-05,8.428247383562848e-05,0.0
adam,7600,0.012311535887420177,9.25277199712582e-05,0.00029712001560255885,8.756422903388739e-05,0.0
adam,7700,9.675862384028733e-05,3.967928989823122e-07,1.5660603480682767e-07,5.5513271945528686e-05,0.0
