stage,iter,total,L_ic,L_bc,L_pde,L_mass
adam,1,34.33275604248047,0.3358457386493683,0.0746150091290474,0.00203004595823586,0.0
adam,100,0.5702843070030212,0.005459739826619625,1.0998639481840655e-05,0.02420036867260933,0.0
adam,200,0.08769062906503677,0.00023752763809170574,1.3167408724257257e-05,0.0638061910867691,0.0
adam,300,0.07065028697252274,0.00010797075810842216,2.3334225261351094e-05,0.05961986631155014,0.0
adam,400,0.06359820067882538,7.20643438398838e-05,2.368818059039768e-05,0.05615488067269325,0.0
adam,500,0.059348657727241516,6.301010580500588e-05,1.9434792193351313e-05,0.0528533011674881,0.0
adam,600,0.05701771751046181,6.57534328638576e-05,5.9794470871565863e-05,0.04984442889690399,0.0
adam,700,0.053382035344839096,5.7637025747681037e-05,1.1886975698871538e-05,0.047499462962150574,0.0
adam,800,0.05459500476717949,7.517328049289063e-05,0.000151310654473491,0.045564569532871246,0.0
adam,900,0.04972005635499954,5.403436080086976e-05,8.138811608660035e-06,0.0442352332174778,0.0
adam,1000,0.04848579317331314,5.251269249129109e-05,9.25677886698395e-06,0.04314195737242699,0.0
adam,1100,0.04739242419600487,5.045254874858074e-05,6.565777766809333e-06,0.042281512171030045,0.0
adam,1200,0.046443622559309006,4.8628899094183e-05,5.957306257187156e-06,0.04152115806937218,0.0
adam,1300,0.04591785743832588,4.870816701441072e-05,1.9958652046625502e-05,0.040847454220056534,0.0
adam,1400,0.044755734503269196,4.495189568842761e-05,5.38920266990317e-06,0.040206652134656906,0.0
adam,1500,0.04395027458667755,4.312779492465779e-05,5.26157555214013e-06,0.03958487883210182,0.0
adam,1600,0.04319612681865692,4.1366598452441394e-05,6.02518184678047e-06,0.03899921476840973,0.0
adam,1700,0.04239822179079056,3.951468534069136e-05,5.178427272767294e-06,0.03839496895670891,0.0
adam,1800,0.04159323126077652,3.767953239730559e-05,5.243904070084682e-06,0.03777283802628517,0.0
adam,1900,0.040826182812452316,3.612054933910258e-05,7.300632660189876e-06,0.03714112192392349,0.0
adam,2000,0.03989392891526222,3.397185355424881e-05,5.499641702044755e-06,0.03644174709916115,0.0
adam,2100,0.038924261927604675,3.198289414285682e-05,5.739454536524136e-06,0.03566857799887657,0.0
adam,2200,0.03786339610815048,3.0013256036909297e-05,6.23700589130749e-06,0.03479969874024391,0.0
adam,2300,0.03663825988769531,2.785937613225542e-05,6.401430709956912e-06,0.03378830850124359,0.0
adam,2400,0.03517511859536171,2.5503495635348372e-05,6.919334737176541e-06,0.03255557641386986,0.0
