stage,iter,total,L_ic,L_bc,L_pde,L_mass
adam,1,46.16185760498047,0.3296482563018799,1.3196790218353271,0.00024376744113396853,0.0
adam,100,2.541682481765747,0.02468365989625454,0.006070244126021862,0.012613967061042786,0.0
adam,200,0.2939651310443878,0.0017498121596872807,0.00039195234421640635,0.11506437510251999,0.0
adam,300,0.15635907649993896,0.0005453293561004102,6.469956133514643e-05,0.10117914527654648,0.0
adam,400,0.09982561320066452,0.00017936591757461429,0.00014481284597422928,0.08044089376926422,0.0
adam,500,0.07858901470899582,9.639162453822792e-05,0.00016726276953704655,0.0672772228717804,0.0
adam,600,0.06723985821008682,7.282899605343118e-05,0.00011903011909453198,0.05876665562391281,0.0
adam,700,0.05970040708780289,6.0131074860692024e-05,7.049170380923897e-05,0.0529823824763298,0.0
adam,800,0.054400861263275146,5.212385440245271e-05,3.898427166859619e-05,0.04879863187670708,0.0
adam,900,0.050375163555145264,4.675614400184713e-05,2.49696404353017e-05,0.04544985294342041,0.0
adam,1000,0.046943143010139465,4.278569758753292e-05,1.2571383194881491e-05,0.04253885895013809,0.0
adam,1100,0.04392436146736145,3.9690301491646096e-05,8.613767022325192e-06,0.039869192987680435,0.0
adam,1200,0.043793629854917526,5.337573020369746e-05,0.00011091167834820226,0.037346940487623215,0.0
adam,1300,0.03863506391644478,3.4546974347904325e-05,7.593522695970023e-06,0.035104431211948395,0.0
adam,1400,0.036403678357601166,3.281030149082653e-05,1.6742338630137965e-05,0.03295522555708885,0.0
adam,1500,0.034015804529190063,2.9846547477063723e-05,1.2898074601253029e-05,0.03090216964483261,0.0
adam,1600,0.03187526762485504,2.7527032216312364e-05,2.062450221274048e-05,0.028916319832205772,0.0
adam,1700,0.02972760610282421,2.516636777727399e-05,2.3755599613650702e-05,0.026973413303494453,0.0
adam,1800,0.02777175046503544,2.3039016014081426e-05,3.3127700589830056e-05,0.025136571377515793,0.0
adam,1900,0.0258540790528059,2.0883482648059726e-05,3.420497159822844e-05,0.023423681035637856,0.0
adam,2000,0.026559416204690933,3.543736238498241e-05,0.00011838050704682246,0.021831875666975975,0.0
adam,2100,0.022479502484202385,1.7001897504087538e-05,3.573548747226596e-05,0.020421957597136497,0.0
adam,2200,0.02092701569199562,1.5027082554297522e-05,3.251000453019515e-05,0.01909920759499073,0.0
adam,2300,0.019709303975105286,1.4202880265656859e-05,3.9472921343985945e-05,0.017894286662340164,0.0
adam,2400,0.018167423084378242,1.1233020813961048e-05,2.441065043967683e-05,0.016800014302134514,0.0
adam,2500,0.016864895820617676,9.310780114901718e-06,1.963118847925216e-05,0.0157375056296587,0.0
adam,2600,0.017890773713588715,2.2874808564665727e-05,8.95545890671201e-05,0.014707747846841812,0.0
adam,2700,0.0145132290199399,6.226408459042432e-06,1.2016193068120629e-05,0.013770426623523235,0.0
adam,2800,0.01345748919993639,4.957039436703781e-06,9.128533747571055e-06,0.01287049986422062,0.0
adam,2900,0.013067010790109634,7.956151421240065e-06,2.567365845607128e-05,0.012014659121632576,0.0
adam,3000,0.011702055111527443,3.3999767765635625e-06,8.891895959095564e-06,0.011273138225078583,0.0
adam,3100,0.010997582226991653,2.681589876374346e-06,1.1303873179713264e-05,0.010616384446620941,0.0
adam,3200,0.010389761067926884,2.1843034119228832e-06,1.4105101399763953e-05,0.010030279867351055,0.0
adam,3300,0.00996720977127552,2.5759013624337967e-06,1.9256698578828946e-05,0.009517052210867405,0.0
adam,3400,0.009424082934856415,1.6824918702695868e-06,1.7765994925866835e-05,0.009078173898160458,0.0
adam,3500,0.009007305838167667,1.4579325124941533e-06,1.921056173159741e-05,0.008669407106935978,0.0
adam,3600,0.009532622061669827,7.378549526038114e-06,5.139934000908397e-05,0.008280773647129536,0.0
adam,3700,0.008254948072135448,1.3326895214049728e-06,2.0271234461688437e-05,0.007918966934084892,0.0
adam,3800,0.007915114983916283,1.1816346159321256e-06,2.060775841528084e-05,0.007590873632580042,0.0
adam,3900,0.007592316251248121,1.0891692454606527e-06,2.0933035557391122e-05,0.007274068892002106,0.0
adam,4000,0.00819162093102932,7.332748282351531e-06,5.0225964514538646e-05,0.006956086494028568,0.0
adam,4100,0.007008704356849194,1.0302228474756703e-06,2.1372787159634754e-05,0.006691954098641872,0.0
adam,4200,0.006745765917003155,9.501878821538412e-07,2.1397107047960162e-05,0.006436775904148817,0.0
adam,4300,0.04718242958188057,0.0002802076342049986,0.001298881252296269,0.006172853987663984,0.0
adam,4400,0.006246835924685001,9.231324611391756e-07,2.024499190156348e-05,0.00595207279548049,0.0
adam,4500,0.006009564269334078,8.572114893468097e-07,1.8867165636038408e-05,0.005735171493142843,0.0
adam,4600,0.005773242563009262,8.394521842092217e-07,1.7275093341595493e-05,0.0055165463127195835,0.0
adam,4700,0.005551808513700962,9.348760841021431e-07,1.5411929780384526e-05,0.005304201506078243,0.0
adam,4800,0.005325786303728819,8.017449317776482e-07,1.3470224985212553e-05,0.0051109096966683865,0.0
adam,4900,0.007752377539873123,2.5938839826267213e-05,1.2368283933028579e-05,0.005034810863435268,0.0
adam,5000,0.004993469454348087,1.1637961279120645e-06,1.1951512533414643e-05,0.004757574759423733,0.0
adam,5100,0.004802021663635969,9.984159987652674e-07,1.0784503501781728e-05,0.004594334866851568,0.0
adam,5200,0.004603320732712746,7.895906151134113e-07,9.118602974922396e-06,0.004433175548911095,0.0
adam,5300,0.004453777335584164,6.282643880695105e-07,7.7600016084034e-06,0.004313350655138493,0.0
adam,5400,0.04311908408999443,0.00027364405104890466,0.0011582531733438373,0.004172146320343018,0.0
adam,5500,0.004171535838395357,6.408591275430808e-07,6.812908850406529e-06,0.004039320629090071,0.0
adam,5600,0.012684004381299019,8.51157819852233e-05,7.072588687151438e-06,0.0041017006151378155,0.0
adam,5700,0.04006333276629448,0.0002574770478531718,0.0010503027588129044,0.0038125989958643913,0.0
adam,5800,0.0038216901011765003,5.531320539375884e-07,5.487405360327102e-06,0.003711502766236663,0.0
adam,5900,0.004228867124766111,5.303978014126187e-06,5.327213330019731e-06,0.003645197255536914,0.0
adam,6000,0.0037932314444333315,1.6346639313269407e-06,9.511316420685034e-06,0.0035346518270671368,0.0
adam,6100,0.0035411841236054897,5.542361236621218e-07,5.073855845694197e-06,0.0034350219648331404,0.0
adam,6200,0.0066093639470636845,2.2983702365309e-05,9.659802890382707e-05,0.003345013363286853,0.0
adam,6300,0.015246488153934479,0.0001210384361911565,5.7624174587544985e-06,0.0030850206967443228,0.0
adam,6400,0.003283766098320484,4.575027503506135e-07,4.852372512686998e-06,0.0031894920393824577,0.0
adam,6500,0.003301100106909871,1.0917522104136879e-06,7.961671144585125e-06,0.0031123082153499126,0.0
adam,6600,0.007919673807919025,4.932986485073343e-05,5.19908826390747e-06,0.0029346963856369257,0.0
adam,6700,0.0030726762488484383,4.0778090237836295e-07,5.105487161927158e-06,0.002980843186378479,0.0
adam,6800,0.004765201825648546,1.685734241618775e-05,8.142459591908846e-06,0.0029980430845171213,0.0
adam,6900,0.003602579701691866,5.130261797603453e-06,2.2546339096152224e-05,0.0028640900272876024,0.0
adam,7000,0.0028958418406546116,3.7232049976410053e-07,5.339867129805498e-06,0.002805211115628481,0.0
