stage,iter,total,L_ic,L_bc,L_pde,L_mass
adam,1,32.96822738647461,0.3296482563018799,0.00018170420662499964,0.0015880814753472805,0.0
adam,100,1.771909236907959,0.017274556681513786,0.00018394330982118845,0.0426141731441021,0.0
adam,200,0.21172372996807098,0.0008852790924720466,4.890055606665555e-06,0.1231469213962555,0.0
adam,300,0.11987988650798798,0.00026622076984494925,9.723806215333752e-06,0.09316056966781616,0.0
adam,400,0.08153147250413895,9.7175310656894e-05,8.282986527774483e-06,0.07173111289739609,0.0
adam,500,0.06503798812627792,6.637085607508197e-05,6.05476634518709e-06,0.05834035575389862,0.0
adam,600,0.056864239275455475,6.247360579436645e-05,5.400132977229077e-06,0.05056287720799446,0.0
adam,700,0.05233244597911835,6.170805863803253e-05,5.689948920917232e-06,0.04610474035143852,0.0
adam,800,0.04918152466416359,6.00577041041106e-05,6.3157040131045505e-06,0.04311259835958481,0.0
adam,900,0.04648460075259209,5.7560358982300386e-05,7.078964245010866e-06,0.04065777361392975,0.0
adam,1000,0.043920427560806274,5.4661235481034964e-05,7.911698958196212e-06,0.038375187665224075,0.0
adam,1100,0.041370950639247894,5.160430373507552e-05,8.775277819950134e-06,0.03612276911735535,0.0
adam,1200,0.03879046440124512,4.8490877816220745e-05,9.645039426686708e-06,0.033844925463199615,0.0
adam,1300,0.03620263189077377,4.543441173154861e-05,1.049677302944474e-05,0.031554222106933594,0.0
adam,1400,0.033573444932699203,4.2240062612108886e-05,1.1348762200213969e-05,0.029235949739813805,0.0
adam,1500,0.03092394396662712,3.9016667869873345e-05,1.2172358765383251e-05,0.026900554075837135,0.0
adam,1600,0.028147630393505096,3.555689181666821e-05,1.2978738595847972e-05,0.024462154135107994,0.0
adam,1700,0.026917435228824615,4.94892883580178e-05,1.3547319213103037e-05,0.021833034232258797,0.0
adam,1800,0.02208305150270462,2.8267448215046898e-05,1.4241986718843691e-05,0.01911388710141182,0.0
adam,1900,0.01897001825273037,2.4730514269322157e-05,1.4458300938713364e-05,0.01635238341987133,0.0
adam,2000,0.01623702608048916,2.2653544874629006e-05,1.4200066289049573e-05,0.013829671777784824,0.0
adam,2100,0.013719259761273861,1.8752449250314385e-05,1.3522741937777027e-05,0.011708787642419338,0.0
adam,2200,0.014513829723000526,4.3377021938795224e-05,1.2381266060401686e-05,0.010052314959466457,0.0
adam,2300,0.010322378017008305,1.3384402336669154e-05,1.15509992610896e-05,0.008868427947163582,0.0
adam,2400,0.009190167300403118,1.0851924344024155e-05,1.0806738828250673e-05,0.007996907457709312,0.0
adam,2500,0.035993292927742004,0.0002859574160538614,9.794635843718424e-06,0.0072996048256754875,0.0
adam,2600,0.0075386459939181805,7.277923486981308e-06,9.843344741966575e-06,0.006712420377880335,0.0
adam,2700,0.006868261843919754,6.026461960573215e-06,9.526696885586716e-06,0.006170348729938269,0.0
adam,2800,0.006243031471967697,5.12543329023174e-06,9.179449079965707e-06,0.005638693459331989,0.0
adam,2900,0.005698297638446093,4.682825874624541e-06,8.894917300494853e-06,0.005141065921634436,0.0
adam,3000,0.0052034808322787285,4.155842816544464e-06,8.70407257025363e-06,0.004700855817645788,0.0
adam,3100,0.004767708480358124,3.8004011457815068e-06,8.466022336506285e-06,0.004303008317947388,0.0
adam,3200,0.024912580847740173,0.00020867917919531465,8.598251952207647e-06,0.003958679269999266,0.0
adam,3300,0.004092549439519644,3.4188085464847973e-06,8.464938218821771e-06,0.0036660192999988794,0.0
adam,3400,0.00381425186060369,3.175701976942946e-06,8.572674232709687e-06,0.003410954959690571,0.0
adam,3500,0.0036227856762707233,3.6016572266817093e-06,8.723285645828582e-06,0.0031753871589899063,0.0
adam,3600,0.00335136940702796,2.8784447749785613e-06,9.13602616492426e-06,0.0029721646569669247,0.0
adam,3700,0.003142152214422822,2.651341219461756e-06,9.360943295178004e-06,0.002783408621326089,0.0
adam,3800,0.002944971900433302,2.4664859665790573e-06,9.604525985196233e-06,0.002602278022095561,0.0
adam,3900,0.003267472144216299,7.284309504029807e-06,9.644119927543215e-06,0.0024425999727100134,0.0
adam,4000,0.002605167217552662,2.1757493868790334e-06,1.0341847882955335e-05,0.0022841738536953926,0.0
adam,4100,0.0024458260741084814,2.0024629066028865e-06,1.0578673936834093e-05,0.002139793010428548,0.0
adam,4200,0.002550654811784625,4.403602360980585e-06,1.0857224879146088e-05,0.0020017223432660103,0.0
adam,4300,0.0021728426218032837,1.7844553212853498e-06,1.1391688531148247e-05,0.0018804800929501653,0.0
adam,4400,0.0020432346500456333,1.6082760794233764e-06,1.1558186997717712e-05,0.001766825094819069,0.0
adam,4500,0.0019217277877032757,1.4757929420738947e-06,1.179385344585171e-05,0.0016562099335715175,0.0
adam,4600,0.002275448525324464,5.909924311708892e-06,1.1721373994078021e-05,0.0015672423178330064,0.0
adam,4700,0.001718707848340273,1.2904123423140845e-06,1.2513479305198416e-05,0.0014645317569375038,0.0
adam,4800,0.001621838891878724,1.1771583103836747e-06,1.269977383344667e-05,0.001377125270664692,0.0
adam,4900,0.0015303598484024405,1.0804172916323296e-06,1.2932154277223162e-05,0.0012929965741932392,0.0
adam,5000,0.0014854844193905592,1.255913275599596e-06,1.362724469800014e-05,0.0012236206093803048,0.0
adam,5100,0.0013903998769819736,9.61810087574122e-07,1.3612139809993096e-05,0.0011580974096432328,0.0
adam,5200,0.0013191065518185496,8.817360708235356e-07,1.376723412249703e-05,0.0010932605946436524,0.0
adam,5300,0.0012517932336777449,8.111242664199381e-07,1.3959319403511472e-05,0.001031087595038116,0.0
