stage,iter,total,L_ic,L_bc,L_pde,L_mass
adam,1,32.99119567871094,0.3296482563018799,0.0018248672131448984,0.00811973586678505,0.0
adam,100,1.7657113075256348,0.017265651375055313,0.00030835444340482354,0.03606260195374489,0.0
adam,200,0.20852500200271606,0.0009036758565343916,8.317374522448517e-06,0.11807423830032349,0.0
adam,300,0.12099471688270569,0.0002837334468495101,5.449946911539882e-06,0.09256687015295029,0.0
adam,400,0.08381666988134384,0.00010593570914352313,8.521713425579946e-06,0.07313787937164307,0.0
adam,500,0.06741724163293839,6.931507959961891e-05,2.1250178178888746e-05,0.06027323007583618,0.0
adam,600,0.05909663438796997,6.27188928774558e-05,3.654166357591748e-05,0.05245932936668396,0.0
adam,700,0.054359253495931625,6.081603351049125e-05,4.930277282255702e-05,0.04778462275862694,0.0
adam,800,0.05098225176334381,5.889579188078642e-05,5.864619743078947e-05,0.04450621083378792,0.0
adam,900,0.04804738610982895,5.660200986312702e-05,6.506484351120889e-05,0.04173653572797775,0.0
adam,1000,0.04523080214858055,5.415646228357218e-05,6.909575313329697e-05,0.039124198257923126,0.0
adam,1100,0.04240545630455017,5.167665585759096e-05,7.122636452550068e-05,0.036525528877973557,0.0
adam,1200,0.03951744735240936,4.917316255159676e-05,7.21073301974684e-05,0.033879056572914124,0.0
adam,1300,0.036599207669496536,4.680193160311319e-05,7.270261266967282e-05,0.031191987916827202,0.0
adam,1400,0.03360218554735184,4.385325883049518e-05,7.38295930204913e-05,0.028478562831878662,0.0
adam,1500,0.03061206452548504,4.0860995795810595e-05,7.629506580997258e-05,0.02576301433146,0.0
adam,1600,0.02750769630074501,3.735494101420045e-05,7.995821943040937e-05,0.02297261916100979,0.0
adam,1700,0.024355174973607063,3.4224027331219986e-05,8.255099965026602e-05,0.020107261836528778,0.0
adam,1800,0.02098352648317814,2.9873233870603144e-05,8.329111005878076e-05,0.017163291573524475,0.0
adam,1900,0.017712051048874855,2.597268030513078e-05,7.785772322677076e-05,0.014336206018924713,0.0
adam,2000,0.014959316700696945,2.2621106836595573e-05,6.810702325310558e-05,0.012016135267913342,0.0
adam,2100,0.012772266753017902,1.875064663181547e-05,6.143047357909381e-05,0.010282897390425205,0.0
adam,2200,0.011172422207891941,1.5324172636610456e-05,5.7389836001675576e-05,0.009066106751561165,0.0
adam,2300,0.010109727270901203,1.3422134543361608e-05,5.503374268300831e-05,0.008217176422476768,0.0
adam,2400,0.009175235405564308,1.0302501323167235e-05,5.640348535962403e-05,0.007580950856208801,0.0
adam,2500,0.00848999060690403,8.51135791890556e-06,5.786054316558875e-05,0.007060249801725149,0.0
adam,2600,0.007947332225739956,7.572747108497424e-06,5.918858732911758e-05,0.006598171778023243,0.0
adam,2700,0.0074258046224713326,6.3745101215317845e-06,6.147599196992815e-05,0.006173593923449516,0.0
adam,2800,0.0069443462416529655,5.638660695694853e-06,6.321595719782636e-05,0.005748320836573839,0.0
adam,2900,0.006761963479220867,8.009078555915039e-06,6.310381286311895e-05,0.005330017767846584,0.0
adam,3000,0.0060880971141159534,4.850831828662194e-06,6.631440919591114e-05,0.004939869977533817,0.0
adam,3100,0.0057185799814760685,4.564280970953405e-06,6.768173625459895e-05,0.004585334565490484,0.0
adam,3200,0.0056991130113601685,7.4041413427039515e-06,6.858768028905615e-05,0.0042728218249976635,0.0
adam,3300,0.005119681358337402,4.245956915838178e-06,7.012406422290951e-05,0.0039938450790941715,0.0
adam,3400,0.004859241656959057,4.0488980630470905e-06,7.110476872185245e-05,0.003743304405361414,0.0
adam,3500,0.020822977647185326,0.00016651139594614506,6.261684757191688e-05,0.0035456703044474125,0.0
adam,3600,0.004399367142468691,3.744478590306244e-06,7.264328451128677e-05,0.0032984863501042128,0.0
adam,3700,0.0041830772534012794,3.518860467011109e-06,7.316261326195672e-05,0.0030995651613920927,0.0
adam,3800,0.004897880367934704,1.2392248208925594e-05,7.532604649895802e-05,0.002905395347625017,0.0
adam,3900,0.0037947120144963264,3.2429552447865717e-06,7.373855623882264e-05,0.002733031054958701,0.0
adam,4000,0.0036049000918865204,2.957824790428276e-06,7.384835043922067e-05,0.0025706340093165636,0.0
adam,4100,0.0034257029183208942,2.754192337306449e-06,7.376973371719941e-05,0.0024125862400978804,0.0
adam,4200,0.0035138363018631935,5.1756223911070265e-06,7.301549339899793e-05,0.002266119234263897,0.0
adam,4300,0.003116059582680464,2.4235212094936287e-06,7.364034536294639e-05,0.002137304050847888,0.0
adam,4400,0.0029682591557502747,2.2300700948107988e-06,7.331163214985281e-05,0.0020121359266340733,0.0
adam,4500,0.002845920156687498,2.2120373159850715e-06,7.327808270929381e-05,0.0018919357098639011,0.0
adam,4600,0.0027142942417412996,1.997000936171389e-06,7.292458758456632e-05,0.001785348285920918,0.0
adam,4700,0.0025891182012856007,1.7585113027962507e-06,7.258981349878013e-05,0.0016873690765351057,0.0
adam,4800,0.0024750884622335434,1.5970859976732754e-06,7.226783054647967e-05,0.0015927015338093042,0.0
adam,4900,0.002385114086791873,1.5450474393219338e-06,7.283978629857302e-05,0.0015022115549072623,0.0
adam,5000,0.0022867065854370594,1.365424054711184e-06,7.189673488028347e-05,0.001431196928024292,0.0
adam,5100,0.002196783432736993,1.2316274933255045e-06,7.159708184190094e-05,0.0013576498022302985,0.0
adam,5200,0.006130023393779993,4.159454329055734e-05,6.235532055143267e-05,0.001347015961073339,0.0
adam,5300,0.0020537537056952715,1.0817968814080814e-06,7.159132655942813e-05,0.0012296607019379735,0.0
adam,5400,0.0019843578338623047,9.69081725088472e-07,7.10992535459809e-05,0.001176457037217915,0.0
adam,5500,0.0019199042581021786,8.741398005440715e-07,7.088778511388227e-05,0.0011236123973503709,0.0
adam,5600,0.0018612047424539924,7.963877237671113e-07,7.078605995047837e-05,0.0010737053817138076,0.0
adam,5700,0.0018265002872794867,8.561241884308401e-07,7.111985178198665e-05,0.0010296893306076527,0.0
adam,5800,0.001764685264788568,6.915109906913131e-07,7.054628076730296e-05,0.0009900713339447975,0.0
adam,5900,0.001718750107102096,6.278151545302535e-07,7.039661431917921e-05,0.0009520024759694934,0.0
adam,6000,0.0016799310687929392,6.036748345650267e-07,7.034326699795201e-05,0.0009161308989860117,0.0
adam,6100,0.004957585595548153,3.3968921343330294e-05,6.407987530110404e-05,0.0009198947809636593,0.0
adam,6200,0.0016101489309221506,5.163549303688342e-07,7.0122470788192e-05,0.0008572887163609266,0.0
adam,6300,0.0015776141081005335,4.7314827611444343e-07,6.995598960202187e-05,0.0008307392708957195,0.0
adam,6400,0.00157536705955863,7.04454237165919e-07,6.993693386903033e-05,0.000805552292149514,0.0
adam,6500,0.0015263187233358622,4.2846966152865207e-07,6.988621316850185e-05,0.0007846095832064748,0.0
adam,6600,0.002167636528611183,7.236404599098023e-06,6.870637298561633e-05,0.0007569323643110693,0.0
adam,6700,0.001478317892178893,3.8648357758575003e-07,6.975167343625799e-05,0.0007421527407132089,0.0
adam,6800,0.0014765607193112373,5.58622900825867e-07,6.976087752263993e-05,0.0007230895571410656,0.0
adam,6900,0.0014392508892342448,3.456021602232795e-07,6.960321479709819e-05,0.000708658539224416,0.0
adam,7000,0.04413168132305145,0.00042614201083779335,7.80902846599929e-05,0.0007365802302956581,0.0
adam,7100,0.0014079848770052195,3.383159707937011e-07,6.951967952772975e-05,0.0006789565086364746,0.0
adam,7200,0.0013901852071285248,3.0690387120557716e-07,6.946945359231904e-05,0.0006648003472946584,0.0
adam,7300,0.006314828991889954,4.9681697419146076e-05,7.323679164983332e-05,0.0006142915808595717,0.0
adam,7400,0.0013857773737981915,5.47755860225152e-07,7.026147068245336e-05,0.000628387089818716,0.0
adam,7500,0.0013470295816659927,2.6994834456672834e-07,6.926625792402774e-05,0.0006273721810430288,0.0
adam,7600,0.0013539972715079784,4.5825439087820996e-07,6.89222288201563e-05,0.0006189494743011892,0.0
adam,7700,0.0013231189223006368,2.5410326998098753e-07,6.913018296472728e-05,0.0006064067711122334,0.0
adam,7800,0.0016321239527314901,3.4626245906110853e-06,6.791395571781322e-05,0.0006067219655960798,0.0
adam,7900,0.0013024643994867802,2.455592493788572e-07,6.901723827468231e-05,0.0005877361400052905,0.0
adam,8000,0.003818086814135313,2.5897730665747076e-05,6.99338415870443e-05,0.0005289754481054842,0.0
adam,8100,0.001491850009188056,2.243438302684808e-06,6.976290023885667e-05,0.0005698770983144641,0.0
